item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr
2023-2501-7-10000-1,2023-2501-7-10000,2023,2501,Bahrain International Airport,EX,7,10000,26429,11/10/2023,0102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,IN,IN,NMB,19.0,2458.56,EXW,17563.95,3.4,46712.64,27.76,31.02,Released,8,5,2501,498,,,CR_HASH_125,,CR_HASH_019
2023-2501-1-10001-1,2023-2501-1-10001,2023,2501,Bahrain International Airport,IM,1,10001,80053,6/14/2023,8703221000,Passenger cars 1000-1500cc,SA,SA,SA,SA,BH,BH,NMB,177.0,107763.1,EXW,7171849.83,2.6,19074068.7,1377.1,1630.44,Released,5,1,2501,591,,,CR_HASH_016,CR_HASH_034,
2023-2701-7-10002-1,2023-2701-7-10002,2023,2701,Khalifa Bin Salman Port,IM,7,10002,39717,2/26/2023,3923301000,Plastic bottles for packaging,US,US,US,US,BH,BH,NMB,149.0,0.78,CIF,43.7,3.51,116.22,286.23,306.12,Pending,4,2,2701,848,,,CR_HASH_171,CR_HASH_024,
2023-2701-1-10003-1,2023-2701-1-10003,2023,2701,Khalifa Bin Salman Port,IM,1,10003,81715,8/18/2023,2710192100,Gas oils for diesel engines,CN,CN,CN,CN,BH,BH,LTR,16729.07,1.02,EXW,6415.93,3.49,17063.65,13014.39,14055.36,Released,7,3,2701,801,,,CR_HASH_201,CR_HASH_001,
2023-2601-5-10004-1,2023-2601-5-10004,2023,2601,Dry Port - Hidd,EX,5,10004,67124,7/22/2023,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,US,US,NMB,8.0,7290.6,FOB,21930.12,3.02,58324.8,37.91,44.16,Released,8,3,2601,641,,,CR_HASH_035,,CR_HASH_029
2023-2601-4-10005-1,2023-2601-4-10005,2023,2601,Dry Port - Hidd,EX,4,10005,49088,1/12/2023,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,CN,CN,NMB,43.0,0.39,FOB,6.31,3.01,16.77,40.3,44.02,Released,8,9,2601,697,,,CR_HASH_229,,CR_HASH_015
2023-2601-4-10006-1,2023-2601-4-10006,2023,2601,Dry Port - Hidd,IM,4,10006,23707,5/30/2023,9018390000,Medical syringes and needles,SA,SA,SA,SA,BH,BH,NMB,64.0,0.06,FOB,1.44,2.51,3.84,109.41,123.1,Released,2,4,2601,314,,,CR_HASH_042,CR_HASH_046,
2023-2701-6-10007-1,2023-2701-6-10007,2023,2701,Khalifa Bin Salman Port,IM,6,10007,80086,4/21/2023,6109100000,Cotton t-shirts,DE,DE,SA,SA,BH,BH,NMB,73.0,3.14,CIF,86.19,2.52,229.22,182.06,217.63,Released,7,3,2701,171,,,CR_HASH_175,CR_HASH_013,
2023-2601-9-10008-1,2023-2601-9-10008,2023,2601,Dry Port - Hidd,IM,9,10008,69696,2/5/2023,8517120000,Cellular telephones,AE,AE,AE,AE,BH,BH,NMB,91.0,322.6,FOB,11038.08,3.32,29356.6,630.14,733.34,Released,6,1,2601,684,,,CR_HASH_123,CR_HASH_036,
2023-2501-7-10009-1,2023-2501-7-10009,2023,2501,Bahrain International Airport,IM,7,10009,36999,8/18/2023,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,303.91,0.94,EXW,107.42,3.11,285.68,303.91,345.89,Released,4,6,2501,631,,,CR_HASH_198,CR_HASH_009,
2023-2501-2-10010-1,2023-2501-2-10010,2023,2501,Bahrain International Airport,IM,2,10010,52613,4/18/2023,3923301000,Plastic bottles for packaging,US,US,US,US,BH,BH,NMB,84.0,0.65,EXW,20.53,1.99,54.6,632.83,718.74,Released,5,5,2501,863,,,CR_HASH_121,CR_HASH_027,
2023-2601-1-10011-1,2023-2601-1-10011,2023,2601,Dry Port - Hidd,IM,1,10011,75428,6/10/2023,2710192100,Gas oils for diesel engines,CN,CN,CN,CN,BH,BH,LTR,17975.14,0.43,EXW,2906.22,0.98,7729.31,14492.4,16650.51,Released,6,9,2601,976,,,CR_HASH_206,CR_HASH_036,
2023-2501-1-10012-1,2023-2501-1-10012,2023,2501,Bahrain International Airport,EX,1,10012,65966,3/26/2023,8517120000,Cellular telephones,BH,BH,BH,BH,IN,IN,NMB,111.0,508.01,FOB,21202.31,1.65,56389.11,319.52,381.17,Pending,9,2,2501,247,,,CR_HASH_159,,CR_HASH_015
2023-2501-3-10013-1,2023-2501-3-10013,2023,2501,Bahrain International Airport,EX,3,10013,52258,7/14/2023,1006301000,Long-grain milled rice,BH,BH,BH,BH,JP,JP,KGM,4962.64,1.38,CIF,2575.01,3.97,6848.44,4962.64,5875.85,Released,6,4,2501,435,,,CR_HASH_029,,CR_HASH_026
2023-2501-7-10014-1,2023-2501-7-10014,2023,2501,Bahrain International Airport,IM,7,10014,74792,11/20/2023,8504400090,Static converters,CN,CN,US,US,BH,BH,NMB,76.0,236.1,EXW,6746.79,1.38,17943.6,125.37,135.01,Released,3,9,2501,798,,,CR_HASH_092,CR_HASH_030,
2023-2801-5-10015-1,2023-2801-5-10015,2023,2801,King Fahd Causeway,IM,5,10015,72482,4/27/2023,8703221000,Passenger cars 1000-1500cc,CN,CN,CN,CN,BH,BH,NMB,87.0,5278.73,EXW,172677.82,1.4,459249.51,123.0,138.49,Released,8,8,2801,122,,,CR_HASH_036,CR_HASH_046,
2023-2501-7-10016-1,2023-2501-7-10016,2023,2501,Bahrain International Airport,EX,7,10016,38236,9/19/2023,9018390000,Medical syringes and needles,BH,BH,BH,BH,US,US,NMB,27.0,0.11,EXW,1.12,1.79,2.97,74.44,83.62,Pending,9,5,2501,122,,,CR_HASH_127,,CR_HASH_033
2023-2701-2-10017-1,2023-2701-2-10017,2023,2701,Khalifa Bin Salman Port,IM,2,10017,52063,8/6/2023,6109100000,Cotton t-shirts,DE,DE,DE,DE,BH,BH,NMB,168.0,19.1,FOB,1206.51,0.58,3208.8,1259.61,1474.57,Released,6,1,2701,358,,,CR_HASH_027,CR_HASH_022,
2023-2601-8-10018-1,2023-2601-8-10018,2023,2601,Dry Port - Hidd,EX,8,10018,43676,10/30/2023,1006301000,Long-grain milled rice,BH,BH,BH,BH,AE,AE,KGM,2700.77,1.07,EXW,1086.57,3.43,2889.82,2700.77,3002.95,Released,9,8,2601,346,,,CR_HASH_058,,CR_HASH_006
2023-2701-3-10019-1,2023-2701-3-10019,2023,2701,Khalifa Bin Salman Port,EX,3,10019,27306,6/15/2023,0102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,CN,CN,NMB,48.0,2068.22,EXW,37327.23,1.9,99274.56,47.96,54.63,Pending,2,9,2701,927,,,CR_HASH_090,,CR_HASH_008
2023-2501-2-10020-1,2023-2501-2-10020,2023,2501,Bahrain International Airport,IM,2,10020,71263,8/7/2023,0102211000,"Live cattle, pure-bred breeding",CN,CN,CN,CN,BH,BH,NMB,115.0,996.33,EXW,43081.31,1.93,114577.95,103.54,117.9,Released,9,5,2501,761,,,CR_HASH_039,CR_HASH_026,
2023-2801-8-10021-1,2023-2801-8-10021,2023,2801,King Fahd Causeway,IM,8,10021,93322,11/16/2023,8703221000,Passenger cars 1000-1500cc,CN,CN,CN,CN,BH,BH,NMB,9.0,8629.97,FOB,29203.82,0.96,77669.73,32.6,34.47,Released,8,1,2801,146,,,CR_HASH_002,CR_HASH_019,
2023-2801-7-10022-1,2023-2801-7-10022,2023,2801,King Fahd Causeway,RE,7,10022,76513,5/28/2023,8471300000,Portable laptop computers,IN,IN,BH,BH,JP,JP,NMB,167.0,736.72,CIF,46260.12,2.91,123032.24,1059.8,1214.93,Released,5,9,2801,870,,,CR_HASH_154,CR_HASH_039,
